view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":1779},{""page_index"":1,""viewing_time"":1842}]",3621.0,instructions,0,2.1.0,3626,43kggh8wp2,692638df063c96e069476515,6932724892d4dbe55311f76e,36,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":33693}]",33693.0,instructions,1,2.1.0,37321,43kggh8wp2,692638df063c96e069476515,6932724892d4dbe55311f76e,36,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":2541}]",2541.0,instructions,2,2.1.0,39863,43kggh8wp2,692638df063c96e069476515,6932724892d4dbe55311f76e,36,,,,,,,,,,,,,,,,,,,
,10278.0,survey-multi-choice,3,,50142,43kggh8wp2,692638df063c96e069476515,6932724892d4dbe55311f76e,36,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""No—they received the same payment regardless of their performance""}","[0,1]",,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":8841}]",8841.0,instructions,4,2.1.0,60132,43kggh8wp2,692638df063c96e069476515,6932724892d4dbe55311f76e,36,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":726}]",726.0,instructions,5,2.1.0,60859,43kggh8wp2,692638df063c96e069476515,6932724892d4dbe55311f76e,36,,,,,,,,,,,,,,,,,,,
,17132.0,survey-multi-choice,6,,77992,43kggh8wp2,692638df063c96e069476515,6932724892d4dbe55311f76e,36,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,790.0,fullscreen,7,2.1.0,79794,43kggh8wp2,692638df063c96e069476515,6932724892d4dbe55311f76e,36,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":1760}]",1760.0,instructions,8,2.1.0,81555,43kggh8wp2,692638df063c96e069476515,6932724892d4dbe55311f76e,36,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,9,2.0.0,94211,43kggh8wp2,692638df063c96e069476515,6932724892d4dbe55311f76e,36,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":15}",0.0,15.0,10.0,5.0,PD,Purple,coop,,,,,,,
