view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":14193},{""page_index"":1,""viewing_time"":2628}]",16822.0,instructions,0,2.1.0,16832,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":208380}]",208381.0,instructions,1,2.1.0,225215,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":4337}]",4338.0,instructions,2,2.1.0,229555,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,,,,,,,,,,,,,,,,,,,
,12019.0,survey-multi-choice,3,,241579,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,2029.0,fullscreen,4,2.1.0,244643,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":42164}]",42164.0,instructions,5,2.1.0,286809,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,305612,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":8}",10.0,8.0,10.0,5.0,HG,Green,def,,,,,,,
,,html-keyboard-response,7,2.0.0,310664,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":15}",0.0,15.0,10.0,5.0,PD,Blue,coop,,,,,,,
,,html-keyboard-response,8,2.0.0,314994,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":8}",0.0,8.0,10.0,5.0,SH,Green,def,,,,,,,
,,html-keyboard-response,9,2.0.0,319254,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":12}",7.0,12.0,10.0,5.0,SG,Blue,coop,,,,,,,
"[{""page_index"":0,""viewing_time"":47515}]",47515.0,instructions,10,2.1.0,366771,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,11,2.0.0,381405,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":15}",10.0,15.0,10.0,5.0,SG,Blue,coop,D.T.,opt_inv,coop,7.0,1.0,14631.399999976158,
,27444.0,html-keyboard-response,12,2.0.0,408852,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 1 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,13,2.0.0,414190,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":12}",7.0,12.0,10.0,5.0,SG,Blue,coop,D.T.,opt_inv,coop,8.0,1.0,5335.599999964237,
,11811.0,html-keyboard-response,14,2.0.0,426003,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 2 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,15,2.0.0,463813,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":15}",7.0,15.0,10.0,5.0,SG,Blue,coop,D.T.,opt_inv,coop,5.0,1.0,37807.60000002384,
,1743.0,html-keyboard-response,16,2.0.0,465558,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 3 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,17,2.0.0,469709,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":8}",7.0,8.0,10.0,5.0,HG,Blue,coop,D.T.,opt_inv,def,10.0,0.0,4148.5,
,1106.0,html-keyboard-response,18,2.0.0,470817,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 3 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,19,2.0.0,475860,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":12}",10.0,12.0,10.0,5.0,SG,Blue,coop,D.T.,opt_inv,coop,9.0,1.0,5039.900000035763,
,1005.0,html-keyboard-response,20,2.0.0,476867,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 4 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,21,2.0.0,480268,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":5}",10.0,5.0,10.0,5.0,HG,Blue,coop,D.T.,opt_inv,def,9.0,0.0,3399.300000011921,
,690.0,html-keyboard-response,22,2.0.0,480960,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 4 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,23,2.0.0,485684,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":8}",0.0,8.0,10.0,5.0,SH,Blue,coop,D.T.,opt_inv,def,7.0,0.0,4722.099999964237,
,22392.0,html-keyboard-response,24,2.0.0,508078,86jh86n174,692638df063c96e069476515,69327086ccdc5c3c39f22ac7,42,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 4 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
