view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":6367},{""page_index"":1,""viewing_time"":76007}]",82374.0,instructions,0,2.1.0,82388,akpf7rqned,692638df063c96e069476515,69325f739f8e10481b67459a,42,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":80941}]",80941.0,instructions,1,2.1.0,163332,akpf7rqned,692638df063c96e069476515,69325f739f8e10481b67459a,42,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":2755}]",2755.0,instructions,2,2.1.0,166088,akpf7rqned,692638df063c96e069476515,69325f739f8e10481b67459a,42,,,,,,,,,,,,,,,,,,,
,19558.0,survey-multi-choice,3,,185650,akpf7rqned,692638df063c96e069476515,69325f739f8e10481b67459a,42,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,1860.0,fullscreen,4,2.1.0,188515,akpf7rqned,692638df063c96e069476515,69325f739f8e10481b67459a,42,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":5897}]",5897.0,instructions,5,2.1.0,194413,akpf7rqned,692638df063c96e069476515,69325f739f8e10481b67459a,42,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,217092,akpf7rqned,692638df063c96e069476515,69325f739f8e10481b67459a,42,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":15}",10.0,15.0,10.0,5.0,SG,Red,coop,,,,,,,
,,html-keyboard-response,7,2.0.0,225768,akpf7rqned,692638df063c96e069476515,69325f739f8e10481b67459a,42,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":15}",3.0,15.0,10.0,5.0,PD,Purple,def,,,,,,,
,,html-keyboard-response,8,2.0.0,251016,akpf7rqned,692638df063c96e069476515,69325f739f8e10481b67459a,42,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":8}",0.0,8.0,10.0,5.0,SH,Purple,def,,,,,,,
,,html-keyboard-response,9,2.0.0,259253,akpf7rqned,692638df063c96e069476515,69325f739f8e10481b67459a,42,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":5}",10.0,5.0,10.0,5.0,HG,Red,coop,,,,,,,
