view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":5539},{""page_index"":1,""viewing_time"":11864}]",17403.0,instructions,0,2.1.0,17412,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":39304}]",39304.0,instructions,1,2.1.0,56717,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":4101}]",4101.0,instructions,2,2.1.0,60819,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,,,,,,,,,,,,,,,,,,,
,9343.0,survey-multi-choice,3,,70167,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,1577.0,fullscreen,4,2.1.0,72763,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":5177}]",5177.0,instructions,5,2.1.0,77941,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,110419,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":12}",0.0,12.0,10.0,5.0,PD,Blue,def,,,,,,,
,,html-keyboard-response,7,2.0.0,118217,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":15}",7.0,15.0,10.0,5.0,SG,Blue,def,,,,,,,
,,html-keyboard-response,8,2.0.0,125592,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":8}",3.0,8.0,10.0,5.0,SH,Blue,def,,,,,,,
,,html-keyboard-response,9,2.0.0,132631,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":8}",10.0,8.0,10.0,5.0,HG,Red,coop,,,,,,,
"[{""page_index"":0,""viewing_time"":1835}]",1835.0,instructions,10,2.1.0,134467,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,11,2.0.0,146455,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":5}",0.0,5.0,10.0,5.0,SH,Green,def,E.B.,pess_nat,def,6.0,1.0,11987.100000143051,
,2788.0,html-keyboard-response,12,2.0.0,149244,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,feedbackTrial,Enter,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 1 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,13,2.0.0,154908,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":12}",0.0,12.0,10.0,5.0,PD,Green,def,E.B.,pess_nat,def,7.0,1.0,5662.599999904633,
,1591.0,html-keyboard-response,14,2.0.0,156499,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 2 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,15,2.0.0,161854,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":5}",3.0,5.0,10.0,5.0,SH,Green,def,E.B.,pess_nat,def,6.0,1.0,5353.599999904633,
,749.0,html-keyboard-response,16,2.0.0,162603,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 3 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,17,2.0.0,167736,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":5}",7.0,5.0,10.0,5.0,HG,Purple,coop,E.B.,pess_nat,coop,7.0,1.0,5131.600000143051,
,843.0,html-keyboard-response,18,2.0.0,168579,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 4 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,19,2.0.0,174563,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":15}",10.0,15.0,10.0,5.0,SG,Purple,coop,E.B.,pess_nat,coop,8.0,1.0,5983.200000047684,
,871.0,html-keyboard-response,20,2.0.0,175435,crl6ayhdwz,693e609928541f4126f49c4b,693e77d134c9b5e8c0c4e21d,37,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 5 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
