view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":5134},{""page_index"":1,""viewing_time"":13976}]",19110.0,instructions,0,2.1.0,19130,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":39945}]",39945.0,instructions,1,2.1.0,59077,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":9112}]",9112.0,instructions,2,2.1.0,68191,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,,,,,,,,,,,,,,,,,,,
,9956.0,survey-multi-choice,3,,78153,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,comprehensionCheck,"{""task"":""Choose the option you would take if you were playing the game"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":28199}]",28199.0,instructions,4,2.1.0,110027,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":8100}]",8100.0,instructions,5,2.1.0,118129,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,,,,,,,,,,,,,,,,,,,
,1105183.0,survey-multi-choice,6,,1221744,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,comprehensionCheck,"{""task"":""Choose the option you would take if you were playing the game"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":3615}]",3615.0,instructions,7,2.1.0,1227516,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":2161}]",2161.0,instructions,8,2.1.0,1229680,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,,,,,,,,,,,,,,,,,,,
,151506.0,survey-multi-choice,9,,1381193,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,1687.0,fullscreen,10,2.1.0,1383889,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":1881}]",1881.0,instructions,11,2.1.0,1385772,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,12,2.0.0,1393001,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":8}",7.0,8.0,10.0,5.0,HG,Red,coop,,,,,,,
,,html-keyboard-response,13,2.0.0,1396877,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":12}",3.0,12.0,10.0,5.0,PD,Blue,def,,,,,,,
,,html-keyboard-response,14,2.0.0,1400128,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":8}",3.0,8.0,10.0,5.0,SH,Red,coop,,,,,,,
,,html-keyboard-response,15,2.0.0,1403886,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":15}",7.0,15.0,10.0,5.0,SG,Blue,def,,,,,,,
"[{""page_index"":0,""viewing_time"":2877}]",2878.0,instructions,16,2.1.0,1406765,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,17,2.0.0,1415038,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":15}",7.0,15.0,10.0,5.0,SG,Green,def,F.A.,pess_nat,coop,7.0,0.0,8271.5,
,2642.0,html-keyboard-response,18,2.0.0,1417683,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 0 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,19,2.0.0,1425684,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":15}",0.0,15.0,10.0,5.0,PD,Purple,coop,F.A.,pess_nat,def,10.0,0.0,8000.0,
,2134.0,html-keyboard-response,20,2.0.0,1427819,dvwu8xpo50,693e609928541f4126f49c4b,693eff918f6b4ab6a15be0ba,31,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 0 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
