view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":5960},{""page_index"":1,""viewing_time"":5061}]",11021.0,instructions,0,2.1.0,11030,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":17822}]",17822.0,instructions,1,2.1.0,28854,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":1278}]",1278.0,instructions,2,2.1.0,30132,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,,,,,,,,,,,,,,,,,,,
,21126.0,survey-multi-choice,3,,51260,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,3250.0,fullscreen,4,2.1.0,55513,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":4315}]",4315.0,instructions,5,2.1.0,59830,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,83442,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":12}",7.0,12.0,10.0,5.0,SG,Green,def,,,,,,,
,,html-keyboard-response,7,2.0.0,93696,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":8}",10.0,8.0,10.0,5.0,HG,Purple,coop,,,,,,,
,,html-keyboard-response,8,2.0.0,103453,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":12}",3.0,12.0,10.0,5.0,PD,Green,def,,,,,,,
,,html-keyboard-response,9,2.0.0,110764,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":8}",0.0,8.0,10.0,5.0,SH,Green,def,,,,,,,
"[{""page_index"":0,""viewing_time"":2281}]",2281.0,instructions,10,2.1.0,113046,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,11,2.0.0,137586,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":5}",7.0,5.0,10.0,5.0,HG,Red,coop,E.B.,pess_inv,def,10.0,0.0,24538.80000001192,
,3336.0,html-keyboard-response,12,2.0.0,140922,exromus0s5,692638df063c96e069476515,693273391885e5281f33db9c,27,feedbackTrial,Enter,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 0 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
