view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":39425},{""page_index"":1,""viewing_time"":31725}]",71151.0,instructions,0,2.1.0,71159,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":134828}]",134828.0,instructions,1,2.1.0,205993,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":9391}]",9391.0,instructions,2,2.1.0,215387,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,,,,,,,,,,,,,,,,,,,
,23075.0,survey-multi-choice,3,,238473,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,1684.0,fullscreen,4,2.1.0,241164,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":14070}]",14070.0,instructions,5,2.1.0,255238,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,287064,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":12}",10.0,12.0,10.0,5.0,SG,Purple,coop,,,,,,,
,,html-keyboard-response,7,2.0.0,294742,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":5}",10.0,5.0,10.0,5.0,HG,Purple,coop,,,,,,,
,,html-keyboard-response,8,2.0.0,347102,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":12}",3.0,12.0,10.0,5.0,PD,Green,def,,,,,,,
,,html-keyboard-response,9,2.0.0,392270,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":5}",3.0,5.0,10.0,5.0,SH,Purple,coop,,,,,,,
"[{""page_index"":0,""viewing_time"":3191}]",3191.0,instructions,10,2.1.0,395463,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,11,2.0.0,409667,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":8}",0.0,8.0,10.0,5.0,SH,Red,coop,E.B.,opt_nat,coop,7.0,1.0,14198.20000000298,
,4429.0,html-keyboard-response,12,2.0.0,414100,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 1 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,13,2.0.0,448331,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":15}",7.0,15.0,10.0,5.0,SG,Red,coop,E.B.,opt_nat,def,6.0,0.0,34229.70000000298,
,3863.0,html-keyboard-response,14,2.0.0,452201,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 1 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,15,2.0.0,468786,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":15}",3.0,15.0,10.0,5.0,PD,Blue,def,E.B.,opt_nat,def,5.0,1.0,16581.79999999702,
,4171.0,html-keyboard-response,16,2.0.0,472960,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 2 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,17,2.0.0,502789,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":12}",0.0,12.0,10.0,5.0,PD,Red,coop,E.B.,opt_nat,def,8.0,0.0,29825.79999999702,
,2818.0,html-keyboard-response,18,2.0.0,505611,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 2 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,19,2.0.0,533461,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":8}",10.0,8.0,10.0,5.0,HG,Blue,def,E.B.,opt_nat,coop,4.0,0.0,27847.59999999404,
,3614.0,html-keyboard-response,20,2.0.0,537079,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 2 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,21,2.0.0,541581,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":8}",7.0,8.0,10.0,5.0,HG,Red,coop,E.B.,opt_nat,coop,5.0,1.0,4499.20000000298,
,4179.0,html-keyboard-response,22,2.0.0,545763,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 3 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,23,2.0.0,571742,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":15}",10.0,15.0,10.0,5.0,SG,Blue,def,E.B.,opt_nat,def,4.0,1.0,25974.90000000596,
,4138.0,html-keyboard-response,24,2.0.0,575883,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 4 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,25,2.0.0,596506,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":12}",3.0,12.0,10.0,5.0,PD,Blue,def,E.B.,opt_nat,def,5.0,1.0,20619.39999999106,
,2661.0,html-keyboard-response,26,2.0.0,599169,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 5 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,27,2.0.0,613307,nymdf4fsfm,692638df063c96e069476515,693248d6f78d0920acd76f94,38,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":8}",3.0,8.0,10.0,5.0,SH,Blue,def,E.B.,opt_nat,coop,7.0,0.0,14135.70000000298,
