view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":6649},{""page_index"":1,""viewing_time"":16963}]",23611.0,instructions,0,2.1.0,23617,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":99366}]",99366.0,instructions,1,2.1.0,122985,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":5935}]",5935.0,instructions,2,2.1.0,128920,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,,,,,,,,,,,,,,,,,,,
,37504.0,survey-multi-choice,3,,166426,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,4727.0,fullscreen,4,2.1.0,172170,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":14704}]",14704.0,instructions,5,2.1.0,186875,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,210291,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":15}",7.0,15.0,10.0,5.0,SG,Purple,coop,,,,,,,
,,html-keyboard-response,7,2.0.0,223523,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":8}",0.0,8.0,10.0,5.0,SH,Green,def,,,,,,,
,,html-keyboard-response,8,2.0.0,232141,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":5}",10.0,5.0,10.0,5.0,HG,Purple,coop,,,,,,,
,,html-keyboard-response,9,2.0.0,246339,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":15}",0.0,15.0,10.0,5.0,PD,Purple,coop,,,,,,,
"[{""page_index"":0,""viewing_time"":4620}]",4620.0,instructions,10,2.1.0,250960,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,11,2.0.0,279594,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":5}",10.0,5.0,10.0,5.0,HG,Purple,coop,F.A.,opt_nat,coop,8.0,1.0,28632.89999985695,
,3689.0,html-keyboard-response,12,2.0.0,283284,uebg0409r3,692638df063c96e069476515,69323fba3bc587f4386c8241,30,feedbackTrial,Alt,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 1 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
