view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":10065},{""page_index"":1,""viewing_time"":3637}]",13703.0,instructions,0,2.1.0,13718,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":31859}]",31859.0,instructions,1,2.1.0,45582,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":3166}]",3166.0,instructions,2,2.1.0,48754,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,,,,,,,,,,,,,,,,,,,
,28668.0,survey-multi-choice,3,,77429,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,1587.0,fullscreen,4,2.1.0,80033,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":9115}]",9115.0,instructions,5,2.1.0,89152,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,111288,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":15}",7.0,15.0,10.0,5.0,SG,Blue,coop,,,,,,,
,,html-keyboard-response,7,2.0.0,142377,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":12}",0.0,12.0,10.0,5.0,PD,Blue,coop,,,,,,,
,,html-keyboard-response,8,2.0.0,166055,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":8}",0.0,8.0,10.0,5.0,SH,Blue,coop,,,,,,,
,,html-keyboard-response,9,2.0.0,172440,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":8}",10.0,8.0,10.0,5.0,HG,Blue,coop,,,,,,,
"[{""page_index"":0,""viewing_time"":2889}]",2889.0,instructions,10,2.1.0,175332,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,11,2.0.0,196056,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":15}",10.0,15.0,10.0,5.0,SG,Red,coop,D.T.,opt_nat,def,10.0,0.0,20721.200000047684,
,7352.0,html-keyboard-response,12,2.0.0,203413,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 0 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,13,2.0.0,226418,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":5}",0.0,5.0,10.0,5.0,SH,Purple,def,D.T.,opt_nat,coop,10.0,0.0,23001.700000047684,
,6712.0,html-keyboard-response,14,2.0.0,233132,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 0 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,15,2.0.0,257276,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":15}",7.0,15.0,10.0,5.0,SG,Purple,def,D.T.,opt_nat,def,10.0,1.0,24139.199999809265,
,7925.0,html-keyboard-response,16,2.0.0,265205,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 1 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,17,2.0.0,282716,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":8}",10.0,8.0,10.0,5.0,HG,Red,coop,D.T.,opt_nat,coop,10.0,1.0,17507.10000014305,
,3651.0,html-keyboard-response,18,2.0.0,286369,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 2 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,19,2.0.0,293940,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":8}",7.0,8.0,10.0,5.0,HG,Red,coop,D.T.,opt_nat,coop,10.0,1.0,7567.199999809265,
,1441.0,html-keyboard-response,20,2.0.0,295384,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 3 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,21,2.0.0,302221,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":8}",0.0,8.0,10.0,5.0,SH,Purple,def,D.T.,opt_nat,coop,10.0,0.0,6833.800000190735,
,3276.0,html-keyboard-response,22,2.0.0,305499,uw2nav3c6p,692638df063c96e069476515,69325d12f6bbce054150e10c,45,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 3 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
