view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":18092},{""page_index"":1,""viewing_time"":8397}]",26489.0,instructions,0,2.1.0,26496,v0bxyav02b,692638df063c96e069476515,69325f70b2de875cbc3985cc,33,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":108247}]",108247.0,instructions,1,2.1.0,134744,v0bxyav02b,692638df063c96e069476515,69325f70b2de875cbc3985cc,33,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":20865}]",20865.0,instructions,2,2.1.0,155610,v0bxyav02b,692638df063c96e069476515,69325f70b2de875cbc3985cc,33,,,,,,,,,,,,,,,,,,,
,19303.0,survey-multi-choice,3,,174915,v0bxyav02b,692638df063c96e069476515,69325f70b2de875cbc3985cc,33,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,4254.0,fullscreen,4,2.1.0,180183,v0bxyav02b,692638df063c96e069476515,69325f70b2de875cbc3985cc,33,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":8630}]",8630.0,instructions,5,2.1.0,188815,v0bxyav02b,692638df063c96e069476515,69325f70b2de875cbc3985cc,33,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,213521,v0bxyav02b,692638df063c96e069476515,69325f70b2de875cbc3985cc,33,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":5}",0.0,5.0,10.0,5.0,SH,Blue,coop,,,,,,,
,,html-keyboard-response,7,2.0.0,225278,v0bxyav02b,692638df063c96e069476515,69325f70b2de875cbc3985cc,33,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":12}",7.0,12.0,10.0,5.0,SG,Blue,coop,,,,,,,
,,html-keyboard-response,8,2.0.0,240366,v0bxyav02b,692638df063c96e069476515,69325f70b2de875cbc3985cc,33,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":5}",10.0,5.0,10.0,5.0,HG,Blue,coop,,,,,,,
,,html-keyboard-response,9,2.0.0,260122,v0bxyav02b,692638df063c96e069476515,69325f70b2de875cbc3985cc,33,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":15}",0.0,15.0,10.0,5.0,PD,Purple,def,,,,,,,
