view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":2136},{""page_index"":1,""viewing_time"":2165}]",4301.0,instructions,0,2.1.0,4322,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":35735}]",35735.0,instructions,1,2.1.0,40068,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":2289}]",2289.0,instructions,2,2.1.0,42362,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,,,,,,,,,,,,,,,,,,,
,10115.0,survey-multi-choice,3,,52492,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,1820.0,fullscreen,4,2.1.0,55321,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":4482}]",4482.0,instructions,5,2.1.0,59809,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,71045,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":15}",0.0,15.0,10.0,5.0,PD,Green,def,,,,,,,
,,html-keyboard-response,7,2.0.0,75517,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":8}",7.0,8.0,10.0,5.0,HG,Purple,coop,,,,,,,
,,html-keyboard-response,8,2.0.0,88917,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":12}",7.0,12.0,10.0,5.0,SG,Purple,coop,,,,,,,
,,html-keyboard-response,9,2.0.0,93489,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":5}",0.0,5.0,10.0,5.0,SH,Green,def,,,,,,,
"[{""page_index"":0,""viewing_time"":2328}]",2328.0,instructions,10,2.1.0,95822,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,11,2.0.0,109413,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":12}",0.0,12.0,10.0,5.0,PD,Blue,coop,F.A.,pess_inv,coop,7.0,1.0,13586.30000001192,
,3286.0,html-keyboard-response,12,2.0.0,112707,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 1 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,13,2.0.0,118954,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":15}",0.0,15.0,10.0,5.0,PD,Blue,coop,F.A.,pess_inv,coop,7.0,1.0,6242.5,
,1061.0,html-keyboard-response,14,2.0.0,120019,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 2 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,15,2.0.0,124682,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":5}",10.0,5.0,10.0,5.0,HG,Green,def,F.A.,pess_inv,def,8.0,1.0,4658.70000000298,
,784.0,html-keyboard-response,16,2.0.0,125472,w74l9zrnef,692638df063c96e069476515,69326b677b4f8399b0a1c571,37,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 3 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
