view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":17215},{""page_index"":1,""viewing_time"":2162}]",19377.0,instructions,0,2.1.0,19386,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":129255}]",129255.0,instructions,1,2.1.0,148644,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":3120}]",3120.0,instructions,2,2.1.0,151766,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,,,,,,,,,,,,,,,,,,,
,8441.0,survey-multi-choice,3,,160210,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""No—they received the same payment regardless of their performance""}","[0,1]",,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":24158}]",24158.0,instructions,4,2.1.0,186504,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":1076}]",1076.0,instructions,5,2.1.0,187582,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,,,,,,,,,,,,,,,,,,,
,3702.0,survey-multi-choice,6,,191285,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,1107.0,fullscreen,7,2.1.0,193400,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":83026}]",83026.0,instructions,8,2.1.0,276428,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,9,2.0.0,348271,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":15}",0.0,15.0,10.0,5.0,PD,Red,coop,,,,,,,
,,html-keyboard-response,10,2.0.0,576953,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":12}",10.0,12.0,10.0,5.0,SG,Red,coop,,,,,,,
,,html-keyboard-response,11,2.0.0,903708,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":5}",3.0,5.0,10.0,5.0,SH,Blue,def,,,,,,,
,,html-keyboard-response,12,2.0.0,910907,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":8}",7.0,8.0,10.0,5.0,HG,Red,coop,,,,,,,
"[{""page_index"":0,""viewing_time"":1666}]",1666.0,instructions,13,2.1.0,912575,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,14,2.0.0,1037163,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":12}",7.0,12.0,10.0,5.0,SG,Blue,def,D.T.,opt_inv,coop,7.0,0.0,124585.0,
,1910.0,html-keyboard-response,15,2.0.0,1039075,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:red; font-size:24px;"">Incorrect</p><p>You still have 0 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,16,2.0.0,1072540,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":5}",0.0,5.0,10.0,5.0,SH,Blue,def,D.T.,opt_inv,def,8.0,1.0,33464.0,
,1804.0,html-keyboard-response,17,2.0.0,1074345,wjhla23322,692638df063c96e069476515,69325e3e179aeba47c4d9c4d,32,feedbackTrial, ,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 1 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
