view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":5210},{""page_index"":1,""viewing_time"":128817}]",134028.0,instructions,0,2.1.0,134035,x921ptf2rz,693e609928541f4126f49c4b,693efce69f5d75d813903ac7,39,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":656589}]",656589.0,instructions,1,2.1.0,790625,x921ptf2rz,693e609928541f4126f49c4b,693efce69f5d75d813903ac7,39,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":1964}]",1964.0,instructions,2,2.1.0,792591,x921ptf2rz,693e609928541f4126f49c4b,693efce69f5d75d813903ac7,39,,,,,,,,,,,,,,,,,,,
,13447.0,survey-multi-choice,3,,806040,x921ptf2rz,693e609928541f4126f49c4b,693efce69f5d75d813903ac7,39,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,1760.0,fullscreen,4,2.1.0,808830,x921ptf2rz,693e609928541f4126f49c4b,693efce69f5d75d813903ac7,39,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":4174}]",4174.0,instructions,5,2.1.0,813005,x921ptf2rz,693e609928541f4126f49c4b,693efce69f5d75d813903ac7,39,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,841647,x921ptf2rz,693e609928541f4126f49c4b,693efce69f5d75d813903ac7,39,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":12}",10.0,12.0,10.0,5.0,SG,Blue,def,,,,,,,
,,html-keyboard-response,7,2.0.0,844443,x921ptf2rz,693e609928541f4126f49c4b,693efce69f5d75d813903ac7,39,playOwnGame,,,,"{""R"":10,""P"":5,""S"":10,""T"":8}",10.0,8.0,10.0,5.0,HG,Red,coop,,,,,,,
,,html-keyboard-response,8,2.0.0,845809,x921ptf2rz,693e609928541f4126f49c4b,693efce69f5d75d813903ac7,39,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":5}",0.0,5.0,10.0,5.0,SH,Blue,def,,,,,,,
,,html-keyboard-response,9,2.0.0,846899,x921ptf2rz,693e609928541f4126f49c4b,693efce69f5d75d813903ac7,39,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":12}",3.0,12.0,10.0,5.0,PD,Blue,def,,,,,,,
