view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,subjectID,studyID,sessionID,overallBonusPoints,task,response,question_order,success,Matrix,S,T,R,P,GameType,choice,GivenAns,Player,PlayerType,CorrAns,confidence,ScoreNum,time_on_trial,stimulus
"[{""page_index"":0,""viewing_time"":115415},{""page_index"":1,""viewing_time"":3044}]",118459.0,instructions,0,2.1.0,118525,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":213314}]",213314.0,instructions,1,2.1.0,331842,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,,,,,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":3969}]",3969.0,instructions,2,2.1.0,335814,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,,,,,,,,,,,,,,,,,,,
,14394.0,survey-multi-choice,3,,350212,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,comprehensionCheck,"{""task"":""Choose the option the anonymized participant chose"",""incentive"":""Yes—they received bonuses based on their performance""}","[0,1]",,,,,,,,,,,,,,,,
,2413.0,fullscreen,4,2.1.0,353681,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,,,,True,,,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":5185}]",5185.0,instructions,5,2.1.0,358868,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,6,2.0.0,383488,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,playOwnGame,,,,"{""R"":10,""P"":5,""S"":3,""T"":12}",3.0,12.0,10.0,5.0,PD,Purple,def,,,,,,,
,,html-keyboard-response,7,2.0.0,392489,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":15}",7.0,15.0,10.0,5.0,SG,Purple,def,,,,,,,
,,html-keyboard-response,8,2.0.0,396977,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,playOwnGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":5}",0.0,5.0,10.0,5.0,SH,Purple,def,,,,,,,
,,html-keyboard-response,9,2.0.0,405205,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,playOwnGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":8}",7.0,8.0,10.0,5.0,HG,Blue,coop,,,,,,,
"[{""page_index"":0,""viewing_time"":1799}]",1799.0,instructions,10,2.1.0,407006,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,11,2.0.0,422313,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":7,""T"":12}",7.0,12.0,10.0,5.0,SG,Blue,coop,E.B.,pess_nat,coop,10.0,1.0,15304.5,
,3267.0,html-keyboard-response,12,2.0.0,425583,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,feedbackTrial,m,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 1 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,13,2.0.0,435075,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":12}",0.0,12.0,10.0,5.0,PD,Purple,def,E.B.,pess_nat,def,10.0,1.0,9488.5,
,3431.0,html-keyboard-response,14,2.0.0,438508,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,feedbackTrial,m,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 2 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
,,html-keyboard-response,15,2.0.0,445596,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,socialPredictionGame,,,,"{""R"":10,""P"":5,""S"":0,""T"":8}",0.0,8.0,10.0,5.0,SH,Purple,def,E.B.,pess_nat,def,9.0,1.0,7083.799999982119,
,1620.0,html-keyboard-response,16,2.0.0,447218,ys5qocn3rv,692638df063c96e069476515,69267aae3a756e526c50c2c0,34,feedbackTrial,n,,,,,,,,,,,,,,,,,"
                    <div style=""text-align:center;"">
                        <p style=""color:green; font-size:24px;"">Correct!</p><p>You now have 3 points.</p>
                        <p> Press any key to continue. </p>
                    </div>
                    "
